,title,price,metros2,location,rooms,region
1702,Apartamento T3 para arrendamento,1200.0,104.0,"Massama e Monte Abraao, Sintra",3, Lisboa
1704,Apartamento T3 Novo para arrendamento,850.0,167.0,"Lago, Amares",3, Braga
1705,T2 em 2o Andar - Varanda; Despensa; Roupeiros - QUINTA DO CONDE,725.0,72.0,"Quinta do Conde, Sesimbra",2, Setubal
1706,Rua Paio Peres Correia - 4o andar - T1 + 1,800.0,52.0,Penha de Franca,1, Lisboa
1707,"Cascais , T2 Jardins da Parede , Terraco e Garagem",2300.0,160.0,"Carcavelos e Parede, Cascais",2, Lisboa
1708,T2 - Mobilado e Equipado a 2 meninas ou 2 rapazes - Cedofeita,650.0,60.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",2, Porto
1709,Apartamento T2 para arrendamento,1100.0,60.6,Campolide,2, Lisboa
1710,Apartamento T3 para arrendamento,1100.0,105.0,"Cidade da Maia, Maia",3, Porto
1711,Apartamento T1 para arrendamento,1400.0,35.86,Misericordia,1, Lisboa
1712,Arrenda-se ? T2 em excelent estado em Oeiras,950.0,86.0,"Oeiras e Sao Juliao da Barra, Paco de Arcos e Caxias, Oeiras",2, Lisboa
1713,Apartamento T1 Arrendamento Lisboa,800.0,42.0,Benfica,1, Lisboa
1714,Apartamento T3,800.0,82.71,Santo Antonio dos Olivais,3, Coimbra
1715,T2 nas ANTAS - METRO e Estadio do DRAGAO - 2 Garagens e Arrumos,1350.0,119.0,Campanha,2, Porto
1716,Apartamento T1 para arrendamento,2500.0,64.47,Santo Antonio,1, Lisboa
1717,"Estudio T1, mob e equipado junto jardim Cap Grande e metro Alvalade",1095.0,22.0,Alvalade,1, Lisboa
1719,"T1+1 cobertura, mobilado e equipado, Leca da Palmeira",1300.0,93.0,"Matosinhos e Leca da Palmeira, Matosinhos",1, Porto
1720,T1 - Rua Do Souto,1000.0,64.0,Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto),1, Braga
1721,"T2 de Luxo - 1o Linha do Mar - Mobilado e Equipado, Cond. c/ Piscina",1550.0,120.0,"Sao Felix da Marinha, Vila Nova de Gaia",2, Porto
1722,T1 Resort Salgados Vila das Lagoas ao ano,1950.0,120.0,"Albufeira e Olhos de Agua, Albufeira",1, Faro
1723,Moradia em Funchal T1 Acima da Escola da Levada,890.0,70.0,"Imaculado Coracao Maria, Funchal",1, Ilha da Madeira
1724,Apartamento T3 | Aldoar | Porto,1400.0,104.0,"Aldoar, Foz do Douro e Nevogilde",3, Porto
1725,Apartamento T3 na Forca,1250.0,127.0,Gloria e Vera Cruz,3, Aveiro
1727,T4 Estrada de Benfica,1300.0,64.0,Benfica,4, Lisboa
1728,T1 COM VISTA RIO - QNT DA MEDIDEIRA - AMORA,850.0,50.0,"Amora, Seixal",1, Setubal
1729,Apartamento T3 para arrendar em Alcobaca,650.0,110.0,"Alcobaca e Vestiaria, Alcobaca",3, Leiria
1730,T1 Duplex Novo em Matosinhos,1200.0,65.0,"Matosinhos e Leca da Palmeira, Matosinhos",1, Porto
